City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,puerto ayora,-0.7393,-90.3518,28.98,89,25,2.24,EC,1678031169
109,ancud,-41.8697,-73.8203,15.68,93,100,5.3,CL,1678031170
110,coquimbo,-29.9533,-71.3436,17.85,82,100,2.06,CL,1678031170
111,vila velha,-20.3297,-40.2925,31.97,56,20,5.81,BR,1678031170
112,kapaa,22.0752,-159.319,20.18,93,100,2.57,US,1678031171
113,bredasdorp,-34.5322,20.0403,20.55,80,77,7.99,ZA,1678031171
114,mahebourg,-20.4081,57.7,26.25,89,75,0.0,MU,1678031172
115,haag,52.0767,4.2986,6.08,79,75,3.6,NL,1678031120
116,torbay,47.6666,-52.7314,-2.56,60,58,1.79,CA,1678031133
117,basco,20.4487,121.9702,22.76,55,94,9.21,PH,1678031173
118,sao filipe,14.8961,-24.4956,23.83,65,98,4.56,CV,1678031173
119,los llanos de aridane,28.6585,-17.9182,18.86,81,75,3.6,ES,1678031174
120,mar del plata,-38.0023,-57.5575,25.01,76,40,4.12,AR,1678031124
121,kodiak,57.79,-152.4072,-5.27,80,0,1.54,US,1678031174
122,arraial do cabo,-22.9661,-42.0278,32.98,62,0,3.6,BR,1678031002
123,itarema,-2.9248,-39.9167,29.96,66,67,6.9,BR,1678031175
124,westport,41.1415,-73.3579,8.83,64,40,3.58,US,1678031098
125,gat,31.61,34.7642,30.38,23,100,2.42,IL,1678031175
126,fortuna,40.5982,-124.1573,4.43,95,100,0.89,US,1678031176
127,lorengau,-2.0226,147.2712,27.34,77,100,3.1,PG,1678031176
128,mayumba,-3.432,10.6554,27.42,80,49,3.33,GA,1678031177
129,barra do garcas,-15.89,-52.2567,28.32,78,75,2.57,BR,1678031177
130,arrifes,37.7667,-25.7,15.14,67,20,8.23,PT,1678031178
131,dikson,73.5069,80.5464,-33.17,100,77,0.29,RU,1678031178
132,sabla,12.7525,4.7077,40.18,8,2,3.38,NG,1678031179
133,budelsdorf,54.3167,9.6833,3.94,68,98,5.66,DE,1678031179
134,mandalgovi,45.7625,106.2708,0.64,33,4,2.42,MN,1678031179
135,kindu,-2.95,25.95,30.03,58,98,1.91,CD,1678031180
136,mvuma,-19.2792,30.5283,22.29,61,24,3.54,ZW,1678031180
137,saint george,37.1041,-113.5841,10.7,51,0,2.24,US,1678031123
138,quesnel,52.9999,-122.5029,-11.72,56,100,6.17,CA,1678031181
139,chokurdakh,70.6333,147.9167,-44.68,100,53,1.2,RU,1678031181
140,tuktoyaktuk,69.4541,-133.0374,-37.0,67,0,1.54,CA,1678031182
141,port-gentil,-0.7193,8.7815,30.98,70,40,6.69,GA,1678031182
142,sistranda,63.7256,8.834,-2.02,60,100,8.6,NO,1678031183
143,cooma,-36.2333,149.1333,15.12,90,54,3.07,AU,1678030888
144,cradock,-32.1642,25.6192,29.33,31,46,6.04,ZA,1678031183
145,kodinsk,58.6881,99.1844,-19.86,100,99,1.28,RU,1678031184
146,camacupa,-12.0167,17.4833,20.05,90,98,0.43,AO,1678031184
147,katherine,-14.4667,132.2667,25.18,88,100,0.0,AU,1678031185
148,beringovskiy,63.05,179.3167,-19.31,88,98,3.37,RU,1678031185
149,pangkalanbuun,-2.6833,111.6167,23.13,98,98,1.08,ID,1678031186
150,trapani,37.8333,12.6667,14.05,72,40,7.2,IT,1678031186
151,barcelos,41.5388,-8.6151,12.08,86,100,2.33,PT,1678030910
